Day,fromDate
Thursday,"Thursday, Jan 27, 2022"
Friday,"Friday, Jan 28, 2022"
Saturday,"Saturday, Jan 29, 2022"
Saturday,"Saturday, Feb 5, 2022"
Sunday,"Sunday, Feb 6, 2022"
Saturday,"Saturday, Feb 12, 2022"
Monday,"Monday, Feb 14, 2022"
Tuesday,"Tuesday, Feb 22, 2022"
Wednesday,"Wednesday, Feb 23, 2022"
Thursday,"Thursday, Feb 24, 2022"
Saturday,"Saturday, Feb 26, 2022"
Sunday,"Sunday, Feb 27, 2022"
Tuesday,"Tuesday, Mar 1, 2022"
Wednesday,"Wednesday, Mar 2, 2022"
Thursday,"Thursday, Mar 3, 2022"
Friday,"Friday, Mar 4, 2022"
Saturday,"Saturday, Mar 5, 2022"
Sunday,"Sunday, Mar 6, 2022"
Tuesday,"Tuesday, Mar 8, 2022"
Wednesday,"Wednesday, Mar 9, 2022"
Thursday,"Thursday, Mar 10, 2022"
Saturday,"Saturday, Mar 12, 2022"
Sunday,"Sunday, Mar 13, 2022"
Monday,"Monday, Mar 14, 2022"
Tuesday,"Tuesday, Mar 15, 2022"
Wednesday,"Wednesday, Mar 16, 2022"
Thursday,"Thursday, Mar 17, 2022"
Friday,"Friday, Mar 18, 2022"
Saturday,"Saturday, Mar 19, 2022"
Sunday,"Sunday, Mar 20, 2022"
Monday,"Monday, Mar 21, 2022"
Tuesday,"Tuesday, Mar 22, 2022"
Wednesday,"Wednesday, Mar 23, 2022"
Thursday,"Thursday, Mar 24, 2022"
Friday,"Friday, Mar 25, 2022"
Saturday,"Saturday, Mar 26, 2022"
Sunday,"Sunday, Mar 27, 2022"
Monday,"Monday, Mar 28, 2022"
Tuesday,"Tuesday, Mar 29, 2022"
Thursday,"Thursday, Mar 31, 2022"
Friday,"Friday, Apr 1, 2022"
Saturday,"Saturday, Apr 2, 2022"
Sunday,"Sunday, Apr 3, 2022"
Monday,"Monday, Apr 4, 2022"
Tuesday,"Tuesday, Apr 5, 2022"
Thursday,"Thursday, Apr 7, 2022"
Sunday,"Sunday, Apr 10, 2022"
Monday,"Monday, Apr 11, 2022"
